college,colors
McNeese State Cowboysaka McNeese State Cowgirls,#00529B
McPherson Bulldogs,#CC0000
Memphis,#003087
Mercer Bearsaka Mercer Baptists,#000000
Mercyhurst Lakers,#006633
Merrimack Warriors,#003768
Metro Atlantic Athletic Conference,#004FA3
Metro State Roadrunners,#00447C
Miami,#005030
Miami University,#B61E2E
Michigan State,#173F35
Michigan Tech Huskies,#000000
Michigan,#00274C
Mid-America Intercollegiate Athletics Associationaka The MIAA,#003E7E
Mid-American Conference,#0C2950
MidAmerica Nazarene Pioneers,#071D49
Middle Tennessee State Blue Raidersaka Middle Tennessee Blue Raiders,#0066CC
Middlebury Panthers,#003882
Midwestern State Mustangs,#862633
Miles Golden Bears,#580D69
Millersville Marauders,#000000
Millsaps Majors,#330066
Milwaukee Panthers,#222222
Minnesota,#862334
Minnesota Intercollegiate Athletic Conferenceaka MIAC,#006241
Minnesota Morris Cougars,#8C1919
Minnesota State Mavericksaka MSU-Mankato Mavericksaka Minnesota State–Mankato Mavericksaka Mankato State Mavericks,#480059
Minnesota State–Moorhead Dragons,#A6192E
Minnesota–Crookston Golden Eaglesaka Minnesota Crookston Golden Eaglesaka Minnesota-Crookston Golden Eagles,#7A0019
Minnesota–Duluth Bulldogsaka Minnesota Duluth Bulldogs,#7A0019
Minot State Beavers,#006341
Mississippi College Choctaws,#003057
Mississippi State,#5D1725
Mississippi Valley State Delta Devilsaka Mississippi Valley State Devilettes,#046A38
Missouri S&T Miners,#154734
Missouri Southern Lions,#00693E
Missouri State Bearsaka Missouri State Lady Bears,#5E0009
Missouri Tigers,#000000
Missouri Valley Conferenceaka Missouri Valley Football Conference,#DF3742
Missouri Western Griffons,#000000
Monmouth Hawks,#041E42
Montana,#660033
Montana State Billings Yellowjackets,#002F5F
Montana State Bobcats,#00205B
Montana Tech Orediggers,#315338
Montevallo Falcons,#49176D
Morehead State Eagles,#005EB8
Morehouse Maroon Tigers,#891E31
Morgan State Bearsaka Morgan State Lady Bears,#002D74
Morrisville State Mustangsaka Morrisville Mustangsaka SUNY Morrisville Mustangs,#004730
Mount Mercy Mustangs,#003768
Mount St. Mary's Mountaineers,#002F6C
Mount Union Purple Raiders,#661C78
Mountain West Conference,#4F2D7F
Murray State Racersaka Murray State Thoroughbreds,#002144
Music City Bowl,#131C43
NAIAaka National Association of Intercollegiate Athletics,#004990
NC State,#CC0000
NCAA Division Iaka NCAA Division IIIaka National Collegiate Athletic Association,#009CDE
NCAA Division II,#009CDE
NJIT Highlanders,#CC0000
NU Bulldogs,#373C96
NYIT Bears,#242C39
NYU Violetsaka New York University Violets,#57068C
National Collegiate Hockey Conferenceaka NCHC,#b5121b
Navy Midshipmen,#00225B
Nazareth Golden Flyers,#4b375e
Nebraska Cornhuskers,#E41C38
Nebraska–Kearney Lopers,#002F6C
Neumann Knights,#003466
Nevada Wolf Packaka Nevada Sagebrushers,#003366
New England College Pilgrimsaka New England Pilgrims,#000F30
New England Nor'eastersaka New England Noreastersaka U of New England Nor'eastersaka University of New England Nor'eastersaka U of New England Noreastersaka University of New England Noreasters,#003882
New Hampshire Wildcats,#041E42
New Haven Chargers,#004B8D
New Mexico Highlands Cowboysaka New Mexico Highlands Cowgirls,#502D7F
New Mexico Lobos,#BA0C2F
New Mexico State,#891216
New Orleans Privateersaka UNO Privateers,#005CA6
Newman Jets,#051C48
Niagara,#582C83
Nicholls State Colonelsaka Nicholls Colonels,#C41230
Nichols Bison,#000000
Norfolk State Spartans,#007A53
North Alabama Lions,#46166B
North Carolina A&T Aggies,#004684
North Carolina Central Eagles,#862633
UNC,#7BAFD4
North Dakota Fighting Hawksaka North Dakota Fighting Siouxaka North Dakota,#009A44
North Dakota State Bison,#005643
North Florida Ospreys,#00246B
North Georgia Nighthawks,#002F87
North Greenville Crusaders,#000000
North Texas Mean Greenaka North Texas Eagles,#00853E
Northeast Conference,#0D67A4
Northeastern University,#D41B2C
Northeastern State RiverHawks,#276444
Northern Arizona Lumberjacks,#003466
Northern Colorado Bearsaka Colorado State College Bearsaka Colorado State Bears,#013C65
Northern Illinois Huskiesaka NIU Huskies,#BA0C2F
Northern Iowa Panthers,#4B116F
Northern Kentucky Norse,#000000
Northern Michigan Wildcats,#095339
Northern State Wolves,#990033
Northland Lumberjacksaka Northland Lumberjills,#DC4405
Northwest Missouri State Bearcats,#006A4E
Northwest Nazarene Nighthawksaka Northwest Nazarene Crusaders,#B51946
Northwestern Oklahoma State Rangers,#000000
Northwestern State Demonsaka Northwestern State Lady Demons,#492F92
